id,Abbreviation,Meaning,Symbol
1,A,Amber,
2,AAA ,"(or AAB, AAC . . . etc., in sequence)
 Amended meteorological message
(message type designator)",
3,A/A,Air-to-air,
4,AAD ,Assigned altitude deviation ,
5,AAR,Air to air refuelling ,
6,AAIM ,Aircraft autonomous integrity monitoring ,
7,AAL,Above aerodrome level ,
8,ABI,Advance boundary information,
9,ABM,Abeam,
10,ABN,Aerodrome beacon ,
11,ABT,About,
12,ABV ,Above,
13,AC,Altocumulus ,
14,ACARS,"(to be pronounced “AY-CARS”)
Aircraft communication addressing and reporting system ",†
15,ACAS,"(to be pronounced “AY-CAS”)
Airborne collision avoidance system",†
16,ACC,Area control centre or area control ,‡
17,ACCID,Notification of an aircraft accident,
18,ACFT,Aircraft,
19,ACK,Acknowledge,
20,ACL,Altimeter check location,
21,ACN,Aircraft classification number,
22,ACP ,Acceptance (message type designator),
23,ACPT,Accept or accepted ,
24,ACT,Active or activated or activity ,
25,AD,Aerodrome ,
26,ADA,Advisory area,
27,ADC ,Aerodrome chart,
28,ADDN ,Addition or additional ,
29,ADF,"Automatic direction-finding
equipment ",‡
30,ADIZ,(to be pronounced “AY-DIZ”) Air defence identification zone,†
31,ADJ,Adjacent,
32,ADO,Aerodrome office (specify service),
33,ADR,Advisory route,
34,ADS,"Address (when this abbreviation is
used to request a repetition, the
question mark (IMI) precedes the
abbreviation, e.g. IMI ADS) (to be
used in AFS as a procedure signal)",*
35,ADS-B,"Automatic dependent surveillance —
broadcast ",‡
36,ADS-C,"Automatic dependent surveillance —
contrac",‡ 
37,ADSU,Automatic dependent surveillance unit,
38,ADVS,Advisory service ,
39,ADZ,Advise,
40,AES,Aircraft earth station ,
41,AFIL,Flight plan filed in the air,
42,AFIS,Aerodrome flight information service ,
43,AFM,"Yes or affirm or affirmative or that is
correct ",
44,AFS,Aeronautical fixed service,
45,AFT…,After (followed by time or place),
46,AFTN,"Aeronautical fixed telecommunication
network ",‡
47,A/G ,Air-to-ground ,
48,AGA,"Aerodromes, air routes and ground
aids ",
49,AGL ,Above ground level ,
50,AGN,Again ,
51,AIC ,Aeronautical information circular ,
52,AIDC,"Air traffic services interfacility data
communications ",
53,AIM,Aeronautical information management,
54,AIP,Aeronautical information publication,
55,AIRAC,"Aeronautical information regulation
and control",
56,AIREP,Air-report ,† 
57,AIRMET,"Information concerning en-route
weather phenomena which may
affect the safety of low-level
aircraft operations ",†
58,AIS ,Aeronautical information services ,
59,ALA ,Alighting area,
60,ALERFA,Alert phase ,†
61,ALR ,Alerting (message type designator),
62,ALRS ,Alerting service ,
63,ALS ,Approach lighting system ,
64,ALT ,Altitude ,
65,ALTN ,"Alternate or alternating (light
alternates in colour)",
66,ALTN,Alternate (aerodrome),
67,AMA ,Area minimum altitude,
68,AMD ,"Amend or amended (used to indicate
amended meteorological message;
message type designator",
69,AMDT ,Amendment (AIP Amendment),
70,AMS ,Aeronautical mobile service ,
71,AMSL ,Above mean sea level,
72,ANC…,"Aeronautical chart — 1:500 000
(followed by name/title)",
73,ANCS…,"Aeronautical navigation chart — small
scale (followed by name/title and
scale)",
74,ANS,Answer,
75,AO,Aircraft operator,
76,AOC…,"Aerodrome obstacle chart (followed by
type and name/title)",
77,AP ,Airport ,
78,APAPI,"(to be pronounced “AY-PAPI”)
Abbreviated precision approach
path indicator ",† 
79,APCH ,Approach ,
